date,COVID-19 new infections,2020-21 total deaths,2015-19 Cancer Percentage of Total Deaths,2015-19 cerebrovascular disease Percentage of Total Deaths,2015-19 chronic lower respiratory disease Percentage of Total Deaths,2015-19 dementia Percentage of Total Deaths,2015-19 diabetes Percentage of Total Deaths,2015-19 heart disease Percentage of Total Deaths,2015-19 pneumonia Percentage of Total Deaths,2015-19 respiratory disease Percentage of Total Deaths
05-Jan-20,0,2498,34.75,7.29,5.32,9.29,2.84,10.77,1.8,9.33
12-Jan-20,0,2511,34.9,7.15,4.98,9.0,2.97,10.36,1.69,8.84
19-Jan-20,0,2501,35.46,6.77,4.79,8.92,3.37,11.03,1.5,8.36
26-Jan-20,4,2597,35.57,7.2,5.15,8.91,3.27,10.02,1.43,8.91
02-Feb-20,8,2510,35.25,6.85,5.1,8.98,3.18,10.89,1.51,8.94
09-Feb-20,3,2530,34.93,6.72,4.85,9.12,3.46,10.79,1.43,8.63
16-Feb-20,0,2613,34.84,6.9,4.79,9.18,3.05,10.15,1.75,8.77
23-Feb-20,7,2608,35.85,7.03,4.38,9.08,3.09,10.25,1.61,8.28
01-Mar-20,4,2678,36.43,6.63,4.54,9.05,3.18,10.45,1.61,8.56
08-Mar-20,53,2602,35.88,6.85,4.75,9.11,2.97,10.34,1.43,8.44
15-Mar-20,219,2567,35.29,7.41,4.46,9.85,3.2,10.13,1.46,8.14
22-Mar-20,1070,2681,35.16,7.0,4.85,9.82,3.14,10.1,1.55,8.55
29-Mar-20,2581,2760,35.04,6.76,5.13,9.75,3.14,10.54,1.47,8.91
05-Apr-20,1735,2854,34.29,7.07,4.98,9.52,2.88,10.59,1.7,9.05
12-Apr-20,740,2782,34.28,7.08,4.86,9.42,3.04,10.54,1.63,8.72
19-Apr-20,357,2672,34.66,7.23,4.83,9.31,3.36,10.66,1.66,9.08
26-Apr-20,102,2693,33.62,7.22,4.72,9.87,3.12,10.45,1.87,9.13
03-May-20,92,2656,33.6,7.1,5.02,9.67,2.61,11.12,1.73,9.24
10-May-20,133,2806,32.94,7.3,5.43,9.83,3.45,10.79,1.83,9.68
17-May-20,107,2694,32.0,7.21,5.27,9.91,3.22,11.08,1.83,9.55
24-May-20,57,2805,32.52,7.03,5.61,10.07,3.07,11.32,1.89,10.0
31-May-20,85,2786,31.99,7.47,5.38,9.78,3.15,10.63,1.74,10.06
07-Jun-20,62,2722,31.82,6.97,5.23,9.72,3.14,11.33,1.99,9.97
14-Jun-20,64,2723,31.32,6.86,5.63,9.62,3.15,11.78,2.09,10.4
21-Jun-20,137,2661,30.83,7.42,5.6,9.55,3.32,11.02,2.06,10.39
28-Jun-20,231,2654,31.44,6.99,5.26,9.75,3.6,10.76,2.04,10.03
05-Jul-20,575,2757,31.14,6.52,5.75,9.63,3.48,10.89,2.2,10.78
12-Jul-20,1311,2780,29.82,6.87,6.23,9.72,3.25,11.75,2.2,11.14
19-Jul-20,1955,2754,29.53,6.91,6.25,10.2,3.22,11.26,2.09,11.36
26-Jul-20,2556,2901,29.38,6.73,6.01,10.15,3.2,11.1,2.45,11.72
02-Aug-20,3399,2940,29.61,6.64,6.11,10.19,3.25,11.06,2.32,12.22
09-Aug-20,3220,2927,29.39,6.71,6.48,9.79,3.27,11.07,2.28,12.4
16-Aug-20,2312,3055,29.43,7.14,6.13,9.81,3.23,11.34,2.41,12.19
23-Aug-20,1524,2876,28.65,7.0,6.52,10.11,3.14,10.89,2.46,13.23
30-Aug-20,888,2860,29.66,6.84,6.52,9.75,3.1,10.78,2.45,13.2
06-Sep-20,624,2888,29.12,6.67,6.11,9.57,3.27,10.6,2.51,12.71
13-Sep-20,392,2818,29.64,6.8,6.22,10.36,3.1,10.46,2.19,12.52
20-Sep-20,252,2700,29.93,6.83,6.42,9.82,3.3,10.64,2.44,12.91
27-Sep-20,146,2781,30.61,6.88,6.17,9.27,3.17,10.94,2.35,12.26
04-Oct-20,93,2786,31.31,6.45,5.67,10.04,3.19,10.89,2.38,11.35
11-Oct-20,132,2653,31.7,6.62,6.0,9.52,2.76,10.58,2.33,11.7
18-Oct-20,134,2624,32.79,6.79,5.83,9.23,3.1,10.01,2.07,10.75
25-Oct-20,129,2586,32.74,7.05,4.97,9.42,3.17,11.04,1.81,9.72
01-Nov-20,75,2643,33.51,6.79,5.46,9.51,3.18,10.5,1.82,9.89
08-Nov-20,65,2662,33.46,6.4,5.21,9.39,3.22,10.81,1.92,9.81
15-Nov-20,67,2707,34.22,6.52,5.15,9.51,2.75,10.29,2.04,9.71
22-Nov-20,94,2618,34.52,6.8,5.45,8.89,3.09,10.44,1.66,9.47
29-Nov-20,71,2549,34.33,6.64,5.15,9.51,3.22,10.53,1.73,9.23
06-Dec-20,72,2687,34.94,6.9,4.91,9.41,2.95,10.25,1.52,8.66
13-Dec-20,67,2619,34.69,7.04,4.98,9.53,3.07,10.07,1.59,8.98
20-Dec-20,141,2621,34.93,6.91,4.88,9.37,3.02,10.12,1.91,9.25
27-Dec-20,136,2636,34.91,6.83,5.09,9.52,3.34,9.76,1.71,9.24
03-Jan-21,170,2560,34.91,6.83,5.09,9.52,3.34,9.76,1.71,9.24
10-Jan-21,108,2595,34.75,7.29,5.32,9.29,2.84,10.77,1.8,9.33
17-Jan-21,111,2515,34.9,7.15,4.98,9.0,2.97,10.36,1.69,8.84
24-Jan-21,59,2679,35.46,6.77,4.79,8.92,3.37,11.03,1.5,8.36
31-Jan-21,44,2527,35.57,7.2,5.15,8.91,3.27,10.02,1.43,8.91
07-Feb-21,39,2650,35.25,6.85,5.1,8.98,3.18,10.89,1.51,8.94
14-Feb-21,46,2534,34.93,6.72,4.85,9.12,3.46,10.79,1.43,8.63
21-Feb-21,25,2512,34.84,6.9,4.79,9.18,3.05,10.15,1.75,8.77
